file_id,company,category,label,description,voxel_quotes
031a0de2-6254-464a-9dc8-6b8accf041e6,Ember Transit Logistics,Coaching & action workflow,Voxel-assigned actions to drive engagement and accountability,Have the Voxel team assign low-hanging fruit actions to specific supervisors with Tara CC’d to help drive the work and re-engage users.,3
03a609d7-bd48-48aa-a708-650afb1d3a58,Orion Forge Industrial,Food safety & controlled environment,Food safety and controlled-environment compliance monitoring,Track hairnets/beard nets and monitor door open durations in controlled environments to support food safety and product integrity.,1
03a609d7-bd48-48aa-a708-650afb1d3a58,Orion Forge Industrial,ROI & cost justification,Retail floor hazard detection to reduce liability exposure,Detect floor hazards and notify staff to reduce customer incident risk and associated liability exposure.,2
03a609d7-bd48-48aa-a708-650afb1d3a58,Orion Forge Industrial,Operational flow & throughput,Vehicle idling monitoring (ports),Monitor idling to enforce operational policies and reduce fuel/emissions alongside speeding enforcement.,1
03a609d7-bd48-48aa-a708-650afb1d3a58,Orion Forge Industrial,Loss prevention & damage,Shrink/loss prevention from mishandling impacts,"Identify mishandling or collision events that could lead to product damage and shrink, enabling corrective action.",2
03a609d7-bd48-48aa-a708-650afb1d3a58,Orion Forge Industrial,ROI & cost justification,Reduce injury and liability costs via targeted interventions,Leverage incident data to cut injury and liability costs by focusing on the main drivers.,3
0672b03e-87a3-410a-977c-35e1d46245c5,Signal Grid Works,ROI & cost justification,Retail front-of-store liability reduction,Use monitoring in customer areas near the front of the store to help reduce liability exposure.,2
0672b03e-87a3-410a-977c-35e1d46245c5,Signal Grid Works,Coaching & action workflow,Supervisor accountability and action tracking in Voxel,"Track supervisor engagement and follow-through using Voxel Actions and usage analytics, and export line items to existing coaching trackers.",4
096964ad-8b87-401e-933c-984c56c0da56,Gray Connect,Analytics & reporting,Platform adoption and usage analytics reporting,"Provide regular usage metrics (e.g., logins, assignments/resolutions) to drive adoption and ensure sites are engaging with the platform.",4
09b3303f-0b38-49f8-8f9c-4d4f74337e9d,Mason Line Supply,Security & access control,Security monitoring use cases (yard/internal),Explore and define new security-focused use cases for yard and internal areas; schedule a session to capture requirements.,2
1268cde7-ca63-40df-8139-2f0c1907a21c,South Track Dynamics Connect,Other,Report subscriptions and exports (PDF/CSV/PPT) for stakeholder sharing,"Subscribe to receive weekly summaries and export dashboards as PDFs, raw CSV data, or editable PowerPoint slides for broader reporting.",3
1268cde7-ca63-40df-8139-2f0c1907a21c,South Track Dynamics Connect,Analytics & reporting,Team engagement leaderboards and gamification,Show actions completed by site and teammate with leaders and laggards to drive engagement and healthy competition across sites.,2
1268cde7-ca63-40df-8139-2f0c1907a21c,South Track Dynamics Connect,Coaching & action workflow,Assign and track actions with accountability and reporting,"Use an actions workflow with a single assignee, subscribers, due dates, and reports on counts and average completion time to manage follow-ups.",3
1622341b-6874-4fe5-8639-838e30f97d41,Rail Mill Transport,Platform & adoption,Per-user language localization to Spanish,They want the Voxel platform available in Spanish on a per-user basis to support their team’s usage.,5
1ceceac2-19cc-44fe-98b7-0d94a06160d6,Harbor Harbor Supply,Loss prevention & damage,Reduce shrink by detecting product damage from PIT impacts,Identify forklift collisions and near-misses that nick or damage product to address causes of shrink and product loss.,1
1ffac178-0eee-4534-8fac-8babb3831770,Iron Harbor Fleet Harbor Manufacturing,Other,Hot desk booking and seat allocation,"Set up hotel/hot desk booking to manage limited space, prevent desk conflicts on peak days, accommodate new hires and travelers, and keep shared desks clear of personal items.",9
37033189-bb15-419d-bd12-d9c07c44acbd,Impromptu Anchor Point Meetings Meeting,Analytics & reporting,Access to heatmap exploration tools for power users,Provide certain user profiles with access to a more detailed heatmap exploration view.,1
