file_id,label,bucket,company,description
0511afa9-94d6-4a22-a384-11efbef34dfe,Augment lean store teams with automated observations/alerts,safety,Voxel Legacy Drive Fabrication,"Use AI-driven alerts and automated observations to assist understaffed stores, reduce manual safety observation time, and avoid adding workload to managers."
0511afa9-94d6-4a22-a384-11efbef34dfe,Augment lean store teams with automated observations/alerts,nonsafety,Voxel Legacy Drive Fabrication,"Use AI-driven alerts and automated observations to assist understaffed stores, reduce manual safety observation time, and avoid adding workload to managers."
2529844c-2be9-4979-9296-deec8ab79944,Continuous AI safety coverage vs human observation,safety,Oak Motive Solutions,"Leverage always-on AI monitoring to cover the facility for incidents and near misses, overcoming the limits of safety staff presence and highlighting time/cost advantages over manual observations."
2529844c-2be9-4979-9296-deec8ab79944,Continuous AI safety coverage vs human observation,nonsafety,Oak Motive Solutions,"Use AI to replace or augment manual observations, quantifying the labor/time saved versus human spot checks to support cost-savings and scalability."
276c425a-9758-4d6e-845b-688667b0d6d5,Cross‑site safety analytics and benchmarking,safety,Quarry Flow Logistics,"Aggregate and compare safety indicators (e.g., PPE compliance, incident trends) across multiple plants to identify leaders/laggards and drive culture and coaching changes."
276c425a-9758-4d6e-845b-688667b0d6d5,Cross‑site safety analytics and benchmarking,nonsafety,Quarry Flow Logistics,"Aggregate and compare safety indicators (e.g., PPE compliance, incident trends) across multiple plants to identify leaders/laggards and drive culture and coaching changes."
45f3120e-3169-4083-8b5c-c97d0f20cb0c,Forklift stop-at-intersection compliance tracking and analytics,safety,Voxel AI Demo,Track forklift stop compliance at intersections and quantify compliance rates across all opportunities to enforce safety rules.
45f3120e-3169-4083-8b5c-c97d0f20cb0c,Forklift stop-at-intersection compliance tracking and analytics,nonsafety,Voxel AI Demo,Track forklift stop compliance at intersections and quantify compliance rates across all opportunities to enforce safety rules.
45f8972e-4307-4256-adf1-45ca7a833e72,Ergonomics detection and real-time coaching (reduce injuries and costs),safety,Cleo Sloane Reconnect,Recognize poor ergonomics and lifting techniques and enable near real-time coaching to reduce numerous ergonomic injuries and associated costs.
45f8972e-4307-4256-adf1-45ca7a833e72,Ergonomics detection and real-time coaching (reduce injuries and costs),nonsafety,Cleo Sloane Reconnect,Recognize poor ergonomics and lifting techniques and enable near real-time coaching to reduce numerous ergonomic injuries and associated costs.
5e295dd9-85e3-4dea-930e-545e8e8eba60,Detect equipment set on dock plates,safety,Prairie Bridge Systems,Use the camera to detect when a machine/equipment is set on the dock plates and ensure it is captured.
